vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	B	200	164	1	22	164	11	2
2	A	200	184	0	184	15	0	1
3	D	200	180	1	1	1	17	180
4	D	200	189	0	3	8	0	189
5	B	200	165	3	14	165	15	3
6	D	200	153	5	2	12	28	153
7	D	200	169	8	10	6	7	169
8	D	200	131	11	29	27	2	131
9	A	200	193	0	193	1	1	5
10	B	200	162	15	5	162	9	9
11	C	200	109	11	9	17	109	54
12	D	200	73	62	29	14	22	73
13	B	200	150	28	11	150	6	5
14	C	200	185	1	8	5	185	1
15	B	200	77	7	96	77	14	6
16	B	200	105	33	9	105	19	34
17	A	200	122	21	122	16	21	20
18	A	200	117	12	117	36	27	8
19	D	200	140	14	2	20	24	140
20	B	200	92	44	50	92	6	8
21	C	200	126	12	13	18	126	31
22	B	200	79	43	3	79	68	7
23	A	200	118	14	118	5	14	49
24	B	200	122	1	66	122	6	5
25	C	200	137	7	9	46	137	1
26	B	200	62	6	13	62	116	3
27	C	200	94	32	5	36	94	33
28	B	200	147	6	8	147	33	6
29	D	200	136	31	8	9	16	136
30	B	200	48	76	17	48	42	17
