feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19ib70881	1	1	17	8	0	11	10-13	8	2	0	7	7-8	9	6	0	7	<8
19ib93394	1	0	11	14	0	5	<10	7	3	0	6	<7	4	11	0	0	<8
19ib19033	1	1	15	8	2	10	10-13	9	0	1	9	>=9	6	8	1	3	<8
19ib61366	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19ib10039	1	1	20	4	1	15	>=14	9	1	0	9	>=9	11	3	1	10	8-11
19ib72648	1	1	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11
19ib47200	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19ib53182	1	0	15	10	0	9	<10	5	5	0	3	<7	10	5	0	8	8-11
19ib25096	1	1	16	6	3	11	10-13	10	0	0	10	>=9	6	6	3	4	<8
19ib63442	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19ib87111	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19ib78715	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib57421	1	1	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11
19ib77186	1	1	19	3	3	14	>=14	9	1	0	9	>=9	10	2	3	9	8-11
19ib35537	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19ib42258	1	1	19	5	1	14	>=14	9	1	0	9	>=9	10	4	1	9	8-11
19ib66236	1	0	11	14	0	5	<10	7	3	0	6	<7	4	11	0	0	<8
19ib16918	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib37721	1	1	14	6	5	10	10-13	9	1	0	9	>=9	5	5	5	3	<8
19ib23527	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19ib57079	1	0	9	9	7	5	<10	7	3	0	6	<7	2	6	7	0	<8
19ib88890	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19ib43701	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19ib26082	1	1	18	7	0	13	10-13	9	1	0	9	>=9	9	6	0	7	<8
19ib19806	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib33905	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19ib33098	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19ib81252	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19ib50295	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19ib49212	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib99114	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19ib86341	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19ib43638	1	0	5	12	8	1	<10	3	5	2	1	<7	2	7	6	0	<8
19ib40542	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19ib81426	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib32439	1	1	15	7	3	10	10-13	7	2	1	6	<7	8	5	2	6	<8
19ib79841	1	1	19	4	2	14	>=14	9	1	0	9	>=9	10	3	2	9	8-11
19ib65425	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19ib79797	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19ib75191	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19ib35025	1	1	16	9	0	10	10-13	7	3	0	6	<7	9	6	0	7	<8
19ib36603	1	0	9	14	2	3	<10	5	4	1	4	<7	4	10	1	1	<8
19ib81062	1	0	7	12	6	2	<10	4	4	2	3	<7	3	8	4	0	<8
19ib77218	1	1	15	1	9	12	10-13	9	0	1	9	>=9	6	1	8	6	<8
