vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	598	563	10	10	11	563	4
2	B	598	578	1	2	578	7	10
3	A	598	564	4	564	4	12	14
4	B	598	538	2	21	538	15	22
5	D	598	557	4	17	18	2	557
6	B	598	511	16	23	511	26	22
7	D	598	517	17	25	16	23	517
8	B	598	565	13	4	565	12	4
9	D	598	564	1	0	24	9	564
10	C	598	580	5	3	7	580	3
11	A	598	517	13	517	6	39	23
12	B	598	427	80	53	427	25	13
13	A	598	352	115	352	43	59	29
14	B	598	518	17	24	518	5	34
15	A	598	441	52	441	41	36	28
16	C	598	527	9	10	9	527	43
17	D	598	429	47	50	25	47	429
18	C	598	485	5	15	37	485	56
19	A	598	543	32	543	7	13	3
20	D	598	400	76	61	19	42	400
21	D	598	337	19	30	166	46	337
22	C	598	272	82	29	25	272	190
23	C	598	381	113	25	45	381	34
24	B	598	494	28	13	494	45	18
25	B	598	399	55	78	399	21	45
