feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19xb90714	1	1	15	5	5	11	10-13	8	1	1	8	7-8	7	4	4	6	<8
19xb76097	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb68338	1	1	18	3	4	14	>=14	9	1	0	9	>=9	9	2	4	8	8-11
19xb63790	1	0	6	19	0	0	<10	2	8	0	0	<7	4	11	0	0	<8
19xb42277	1	0	12	3	10	9	<10	6	3	1	5	<7	6	0	9	6	<8
19xb27310	1	1	18	3	4	14	>=14	9	0	1	9	>=9	9	3	3	8	8-11
19xb50671	1	1	15	4	6	11	10-13	7	2	1	6	<7	8	2	5	7	<8
19xb84616	1	1	14	4	7	10	10-13	8	2	0	7	7-8	6	2	7	5	<8
19xb44842	1	1	18	3	4	14	>=14	10	0	0	10	>=9	8	3	4	7	<8
19xb74732	1	1	22	0	3	18	>=14	10	0	0	10	>=9	12	0	3	12	>=12
19xb45488	1	0	15	10	0	9	<10	6	4	0	5	<7	9	6	0	7	<8
19xb52633	1	1	20	3	2	15	>=14	9	1	0	9	>=9	11	2	2	10	8-11
19xb14754	1	1	14	1	10	11	10-13	7	0	3	7	7-8	7	1	7	7	<8
19xb68952	1	1	18	4	3	13	10-13	10	0	0	10	>=9	8	4	3	7	<8
19xb78532	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb73517	1	0	14	7	4	9	<10	7	1	2	7	7-8	7	6	2	5	<8
19xb81640	1	1	21	1	3	17	>=14	9	0	1	9	>=9	12	1	2	12	>=12
19xb43309	1	0	11	8	6	7	<10	7	2	1	6	<7	4	6	5	2	<8
19xb16312	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb66178	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19xb83207	1	1	19	4	2	14	>=14	8	2	0	7	7-8	11	2	2	10	8-11
19xb98008	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb76859	1	1	18	3	4	14	>=14	8	2	0	7	7-8	10	1	4	10	8-11
19xb53329	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb44658	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19xb95232	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19xb22818	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19xb66685	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb30517	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19xb46727	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb48055	1	0	13	12	0	7	<10	6	4	0	5	<7	7	8	0	4	<8
19xb15685	1	1	17	5	3	12	10-13	9	1	0	9	>=9	8	4	3	7	<8
19xb70559	1	1	20	0	5	16	>=14	10	0	0	10	>=9	10	0	5	10	8-11
19xb49650	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb74265	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19xb39309	1	1	21	2	2	16	>=14	8	1	1	8	7-8	13	1	1	13	>=12
19xb45510	1	1	19	5	1	14	>=14	10	0	0	10	>=9	9	5	1	7	<8
19xb50886	1	0	12	8	5	7	<10	6	3	1	5	<7	6	5	4	4	<8
19xb72398	1	1	17	4	4	13	10-13	10	0	0	10	>=9	7	4	4	6	<8
19xb75457	1	1	22	3	0	17	>=14	8	2	0	7	7-8	14	1	0	14	>=12
19xb69671	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb86067	1	1	20	3	2	15	>=14	8	1	1	8	7-8	12	2	1	11	8-11
19xb89469	1	1	16	6	3	11	10-13	8	2	0	7	7-8	8	4	3	7	<8
19xb49298	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb32926	1	1	17	5	3	12	10-13	10	0	0	10	>=9	7	5	3	5	<8
19xb70079	1	1	18	7	0	13	10-13	8	2	0	7	7-8	10	5	0	8	8-11
19xb45828	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb14639	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb44627	1	0	12	7	6	8	<10	7	2	1	6	<7	5	5	5	3	<8
19xb22773	1	0	15	10	0	9	<10	9	1	0	9	>=9	6	9	0	3	<8
19xb92232	1	1	16	4	5	12	10-13	8	1	1	8	7-8	8	3	4	7	<8
19xb11564	1	1	21	2	2	16	>=14	8	1	1	8	7-8	13	1	1	13	>=12
19xb32813	1	1	20	1	4	16	>=14	9	1	0	9	>=9	11	0	4	11	8-11
19xb49080	1	1	18	7	0	13	10-13	8	2	0	7	7-8	10	5	0	8	8-11
19xb65451	1	1	16	6	3	11	10-13	9	1	0	9	>=9	7	5	3	5	<8
19xb68668	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb16326	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb23706	1	1	15	5	5	11	10-13	8	2	0	7	7-8	7	3	5	6	<8
19xb94777	1	0	13	7	5	9	<10	8	2	0	7	7-8	5	5	5	3	<8
19xb60476	1	1	15	3	7	11	10-13	9	1	0	9	>=9	6	2	7	5	<8
19xb92434	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19xb29535	1	1	18	5	2	13	10-13	9	1	0	9	>=9	9	4	2	8	8-11
19xb37215	1	1	16	5	4	11	10-13	8	2	0	7	7-8	8	3	4	7	<8
19xb89649	1	0	15	10	0	9	<10	8	2	0	7	7-8	7	8	0	4	<8
19xb37273	1	1	19	3	3	14	>=14	10	0	0	10	>=9	9	3	3	8	8-11
19xb85688	1	1	18	3	4	14	>=14	9	1	0	9	>=9	9	2	4	8	8-11
19xb40914	1	1	14	4	7	10	10-13	7	2	1	6	<7	7	2	6	6	<8
19xb47190	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb88862	1	1	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12
19xb87312	1	1	17	6	2	12	10-13	10	0	0	10	>=9	7	6	2	5	<8
19xb31140	1	0	12	3	10	9	<10	7	2	1	6	<7	5	1	9	5	<8
19xb29749	1	0	10	15	0	4	<10	5	5	0	3	<7	5	10	0	2	<8
19xb85678	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb26173	1	1	17	2	6	13	10-13	9	1	0	9	>=9	8	1	6	8	8-11
19xb87825	1	1	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11
19xb25580	1	1	23	1	1	18	>=14	10	0	0	10	>=9	13	1	1	13	>=12
19xb22886	1	1	15	9	1	10	10-13	9	1	0	9	>=9	6	8	1	3	<8
19xb64052	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb26053	1	1	21	1	3	17	>=14	9	0	1	9	>=9	12	1	2	12	>=12
19xb16001	1	1	18	5	2	13	10-13	10	0	0	10	>=9	8	5	2	6	<8
19xb71111	1	1	18	2	5	14	>=14	8	1	1	8	7-8	10	1	4	10	8-11
19xb17509	1	1	14	3	8	10	10-13	7	1	2	7	7-8	7	2	6	6	<8
19xb62615	1	1	21	0	4	17	>=14	10	0	0	10	>=9	11	0	4	11	8-11
19xb41880	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19xb71248	1	1	19	0	6	15	>=14	10	0	0	10	>=9	9	0	6	9	8-11
19xb25634	1	1	17	4	4	13	10-13	9	1	0	9	>=9	8	3	4	7	<8
19xb24408	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb59305	1	1	16	4	5	12	10-13	10	0	0	10	>=9	6	4	5	5	<8
19xb53857	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb25286	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19xb52329	1	1	20	5	0	15	>=14	8	2	0	7	7-8	12	3	0	11	8-11
19xb69816	1	1	19	4	2	14	>=14	8	2	0	7	7-8	11	2	2	10	8-11
19xb86016	1	1	16	4	5	12	10-13	8	1	1	8	7-8	8	3	4	7	<8
19xb37867	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19xb99632	1	1	20	1	4	16	>=14	9	0	1	9	>=9	11	1	3	11	8-11
19xb46468	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19xb44608	1	1	17	8	0	11	10-13	10	0	0	10	>=9	7	8	0	4	<8
19xb23764	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb23940	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb73669	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19xb62636	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb94996	1	1	18	3	4	14	>=14	9	0	1	9	>=9	9	3	3	8	8-11
19xb71755	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb12749	1	1	21	2	2	16	>=14	9	1	0	9	>=9	12	1	2	12	>=12
19xb86479	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19xb55208	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19xb43011	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19xb68801	1	1	20	5	0	15	>=14	7	3	0	6	<7	13	2	0	12	>=12
19xb42004	1	1	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12
19xb12230	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19xb58065	1	0	11	4	10	8	<10	7	1	2	7	7-8	4	3	8	3	<8
19xb28150	1	1	15	5	5	11	10-13	10	0	0	10	>=9	5	5	5	3	<8
19xb85394	1	0	13	9	3	8	<10	6	3	1	5	<7	7	6	2	5	<8
19xb62926	1	1	20	4	1	15	>=14	9	0	1	9	>=9	11	4	0	10	8-11
19xb66030	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb27058	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb97006	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb94256	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb49752	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb79575	1	1	18	4	3	13	10-13	9	0	1	9	>=9	9	4	2	8	8-11
19xb17825	1	1	15	7	3	10	10-13	8	2	0	7	7-8	7	5	3	5	<8
19xb66700	1	1	18	3	4	14	>=14	9	1	0	9	>=9	9	2	4	8	8-11
19xb72120	1	1	20	3	2	15	>=14	9	0	1	9	>=9	11	3	1	10	8-11
19xb63757	1	1	15	7	3	10	10-13	8	2	0	7	7-8	7	5	3	5	<8
19xb11041	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb61193	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19xb89644	1	1	16	1	8	13	10-13	9	0	1	9	>=9	7	1	7	7	<8
19xb86912	1	1	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11
19xb98214	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19xb81695	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb45026	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb44633	1	1	22	2	1	17	>=14	9	1	0	9	>=9	13	1	1	13	>=12
19xb91876	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb43422	1	1	15	5	5	11	10-13	6	3	1	5	<7	9	2	4	8	8-11
19xb76602	1	1	15	7	3	10	10-13	8	2	0	7	7-8	7	5	3	5	<8
19xb46564	1	1	17	3	5	13	10-13	8	1	1	8	7-8	9	2	4	8	8-11
19xb46976	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb75435	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb65385	1	1	17	2	6	13	10-13	9	0	1	9	>=9	8	2	5	7	<8
19xb71232	1	1	17	2	6	13	10-13	9	0	1	9	>=9	8	2	5	7	<8
19xb84133	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb83012	1	1	19	1	5	15	>=14	10	0	0	10	>=9	9	1	5	9	8-11
19xb44445	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19xb72822	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19xb29348	1	1	18	2	5	14	>=14	9	1	0	9	>=9	9	1	5	9	8-11
19xb36243	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19xb81353	1	0	9	16	0	3	<10	3	7	0	1	<7	6	9	0	3	<8
19xb21327	1	1	18	3	4	14	>=14	8	1	1	8	7-8	10	2	3	9	8-11
19xb33435	1	0	10	6	9	6	<10	5	3	2	4	<7	5	3	7	4	<8
19xb38697	1	1	15	2	8	11	10-13	10	0	0	10	>=9	5	2	8	4	<8
19xb12889	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb69184	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb27578	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19xb38862	1	1	22	0	3	18	>=14	10	0	0	10	>=9	12	0	3	12	>=12
19xb92183	1	1	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12
19xb82014	1	1	18	4	3	13	10-13	8	2	0	7	7-8	10	2	3	9	8-11
19xb63225	1	0	13	8	4	8	<10	8	1	1	8	7-8	5	7	3	3	<8
19xb88558	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19xb82996	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb45320	1	1	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11
19xb16996	1	1	20	4	1	15	>=14	8	2	0	7	7-8	12	2	1	11	8-11
19xb14182	1	1	17	8	0	11	10-13	10	0	0	10	>=9	7	8	0	4	<8
19xb22925	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb86895	1	0	12	8	5	7	<10	8	2	0	7	7-8	4	6	5	2	<8
19xb37140	1	0	12	13	0	6	<10	7	3	0	6	<7	5	10	0	2	<8
19xb42152	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb55819	1	1	22	2	1	17	>=14	8	2	0	7	7-8	14	0	1	14	>=12
19xb62453	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19xb16096	1	1	18	7	0	13	10-13	8	2	0	7	7-8	10	5	0	8	8-11
19xb52778	1	1	17	2	6	13	10-13	8	1	1	8	7-8	9	1	5	9	8-11
19xb61617	1	1	19	2	4	15	>=14	9	0	1	9	>=9	10	2	3	9	8-11
19xb89138	1	1	15	5	5	11	10-13	10	0	0	10	>=9	5	5	5	3	<8
19xb93020	1	1	16	4	5	12	10-13	10	0	0	10	>=9	6	4	5	5	<8
19xb97580	1	1	18	7	0	13	10-13	9	1	0	9	>=9	9	6	0	7	<8
19xb45428	1	1	18	7	0	13	10-13	10	0	0	10	>=9	8	7	0	6	<8
19xb97399	1	1	22	2	1	17	>=14	9	0	1	9	>=9	13	2	0	12	>=12
19xb26520	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb75651	1	1	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11
19xb87335	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb76216	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb53937	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb84334	1	1	17	5	3	12	10-13	7	2	1	6	<7	10	3	2	9	8-11
19xb41968	1	1	17	3	5	13	10-13	8	1	1	8	7-8	9	2	4	8	8-11
19xb27063	1	1	17	5	3	12	10-13	7	2	1	6	<7	10	3	2	9	8-11
19xb33657	1	1	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11
19xb83529	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19xb49139	1	1	23	0	2	18	>=14	10	0	0	10	>=9	13	0	2	13	>=12
19xb49698	1	1	14	2	9	11	10-13	10	0	0	10	>=9	4	2	9	3	<8
19xb56402	1	1	20	2	3	15	>=14	9	1	0	9	>=9	11	1	3	11	8-11
19xb25910	1	1	16	2	7	12	10-13	10	0	0	10	>=9	6	2	7	5	<8
19xb40354	1	1	18	1	6	14	>=14	10	0	0	10	>=9	8	1	6	8	8-11
19xb52135	1	0	13	6	6	9	<10	9	1	0	9	>=9	4	5	6	2	<8
19xb39527	1	0	12	10	3	7	<10	7	2	1	6	<7	5	8	2	2	<8
19xb66661	1	1	22	0	3	18	>=14	10	0	0	10	>=9	12	0	3	12	>=12
19xb98915	1	1	20	2	3	15	>=14	10	0	0	10	>=9	10	2	3	9	8-11
19xb74599	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb65953	1	1	17	6	2	12	10-13	9	1	0	9	>=9	8	5	2	6	<8
19xb89878	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19xb33909	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19xb16900	1	1	19	3	3	14	>=14	9	1	0	9	>=9	10	2	3	9	8-11
19xb56369	1	1	20	4	1	15	>=14	9	1	0	9	>=9	11	3	1	10	8-11
19xb97547	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19xb94223	1	1	22	2	1	17	>=14	9	0	1	9	>=9	13	2	0	12	>=12
19xb46619	1	1	21	3	1	16	>=14	9	1	0	9	>=9	12	2	1	11	8-11
19xb46920	1	1	15	6	4	10	10-13	8	1	1	8	7-8	7	5	3	5	<8
19xb19064	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19xb94931	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19xb18134	1	1	20	3	2	15	>=14	8	2	0	7	7-8	12	1	2	12	>=12
19xb94035	1	1	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11
19xb90199	1	0	14	9	2	9	<10	8	2	0	7	7-8	6	7	2	4	<8
19xb59684	1	1	20	2	3	15	>=14	9	0	1	9	>=9	11	2	2	10	8-11
19xb78827	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb67865	1	0	11	6	8	7	<10	6	2	2	5	<7	5	4	6	4	<8
19xb44258	1	0	11	4	10	8	<10	6	2	2	5	<7	5	2	8	4	<8
19xb79915	1	0	9	3	13	6	<10	7	1	2	7	7-8	2	2	11	1	<8
19xb44323	1	1	14	4	7	10	10-13	8	2	0	7	7-8	6	2	7	5	<8
19xb62195	1	1	18	1	6	14	>=14	9	0	1	9	>=9	9	1	5	9	8-11
19xb42714	1	0	12	7	6	8	<10	8	1	1	8	7-8	4	6	5	2	<8
19xb94457	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19xb85125	1	1	18	4	3	13	10-13	8	2	0	7	7-8	10	2	3	9	8-11
19xb76587	1	1	18	5	2	13	10-13	10	0	0	10	>=9	8	5	2	6	<8
19xb79162	1	1	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11
19xb39966	1	1	16	6	3	11	10-13	10	0	0	10	>=9	6	6	3	4	<8
19xb24426	1	1	16	3	6	12	10-13	9	1	0	9	>=9	7	2	6	6	<8
19xb97452	1	1	14	5	6	10	10-13	8	2	0	7	7-8	6	3	6	5	<8
19xb78494	1	1	14	5	6	10	10-13	8	2	0	7	7-8	6	3	6	5	<8
