vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	131	121	3	5	1	121	1
2	B	131	126	2	1	126	1	1
3	A	131	127	1	127	3	0	0
4	B	131	119	1	7	119	2	2
5	D	131	121	4	1	3	2	121
6	B	131	107	8	6	107	8	2
7	D	131	101	5	7	2	16	101
8	B	131	118	7	3	118	3	0
9	D	131	117	1	0	11	2	117
10	C	131	123	4	3	0	123	1
11	A	131	99	7	99	3	14	8
12	B	131	76	30	10	76	7	8
13	A	131	56	36	56	15	16	8
14	B	131	106	10	8	106	2	5
15	A	131	92	18	92	9	10	2
16	C	131	110	5	2	6	110	8
17	D	131	86	8	15	9	13	86
18	C	131	105	3	2	7	105	14
19	A	131	110	11	110	2	5	3
20	D	131	61	32	21	8	9	61
21	D	131	51	9	10	47	14	51
22	C	131	65	19	10	5	65	32
23	C	131	74	29	7	11	74	10
24	B	131	94	13	7	94	11	6
25	B	131	73	20	19	73	4	15
26	C	131	110	6	4	8	110	3
27	B	131	90	6	19	90	6	10
28	C	131	91	6	9	19	91	6
29	A	131	114	2	114	0	3	12
30	D	131	93	11	16	5	6	93
31	A	131	97	5	97	18	9	2
32	C	131	94	6	11	10	94	10
33	B	131	79	13	7	79	27	5
34	B	131	103	3	5	103	16	4
35	B	131	100	4	2	100	12	13
