vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	480	375	43	14	14	34	375
2	D	480	395	20	20	4	41	395
3	A	480	396	28	396	22	9	25
4	D	480	400	52	13	8	7	400
5	D	480	351	84	11	17	17	351
6	B	480	285	50	13	285	88	44
7	D	480	457	0	2	7	14	457
8	A	480	427	20	427	16	6	11
9	A	480	368	69	368	24	6	13
10	D	480	285	36	99	43	17	285
11	C	480	328	69	37	17	328	29
12	B	480	305	95	68	305	6	6
13	A	480	333	49	333	30	43	25
14	D	480	360	29	35	43	13	360
15	B	480	386	34	34	386	2	24
16	C	480	374	9	20	22	374	55
17	C	480	335	66	9	7	335	63
18	C	480	434	8	5	24	434	9
19	B	480	406	22	33	406	11	8
20	C	480	346	84	43	6	346	1
21	A	480	282	21	282	169	2	6
22	C	480	346	75	15	6	346	38
