vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	216	185	14	8	5	185	4
2	B	216	205	2	3	205	4	2
3	A	216	183	4	183	1	12	16
4	B	216	173	3	5	173	16	19
5	D	216	195	5	5	7	4	195
6	B	216	167	17	14	167	8	10
7	D	216	143	24	11	11	27	143
8	B	216	167	29	9	167	6	5
9	D	216	194	1	0	14	7	194
10	C	216	199	6	4	2	199	5
11	A	216	140	16	140	8	26	26
12	B	216	116	56	14	116	20	10
13	A	216	83	69	83	17	32	15
14	B	216	156	22	16	156	3	19
15	A	216	117	42	117	17	28	12
16	C	216	174	12	7	9	174	14
17	D	216	118	33	21	15	29	118
18	C	216	149	12	14	18	149	23
19	A	216	172	22	172	6	12	4
20	D	216	108	47	22	9	30	108
21	D	216	67	14	17	93	25	67
22	C	216	75	49	6	12	75	74
23	C	216	101	72	13	23	101	7
24	B	216	130	34	14	130	28	10
25	B	216	92	62	28	92	6	28
26	C	216	152	16	11	19	152	18
27	B	216	139	10	37	139	14	16
28	C	216	110	15	26	56	110	9
29	A	216	155	7	155	5	5	44
30	D	216	130	32	30	5	19	130
31	A	216	130	11	130	55	16	4
32	C	216	146	20	24	15	146	11
33	B	216	107	31	18	107	57	3
34	B	216	153	8	7	153	38	10
35	B	216	157	9	1	157	23	26
