vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD	aantalE
1	D	122	71	14	1	1	22	71	13
2	C	122	95	6	7	1	95	12	1
3	D	122	90	1	9	13	7	90	2
4	B	122	74	4	14	74	12	16	2
5	C	122	32	21	5	41	32	11	12
6	B	122	84	2	32	84	0	0	4
7	D	122	111	4	2	0	1	111	4
8	D	122	84	1	0	3	0	84	34
9	B	122	68	11	8	68	14	3	18
10	B	122	79	4	1	79	38	0	0
11	E	122	96	5	2	3	9	7	96
12	C	122	96	1	2	3	96	1	19
13	D	122	69	14	11	4	16	69	8
14	A	122	82	9	82	3	6	19	3
15	A	122	114	1	114	1	1	1	4
16	C	122	107	5	1	3	107	5	1
17	E	122	32	61	1	3	2	23	32
18	C	122	80	8	1	22	80	1	10
19	B	122	34	45	14	34	3	3	23
20	C	122	69	32	4	7	69	4	6
21	C	122	80	19	4	1	80	14	4
22	B	122	89	11	3	89	5	2	12
23	C	122	30	1	81	1	30	7	2
24	E	122	96	3	8	4	6	5	96
25	D	122	60	1	5	45	5	60	6
26	B	122	55	28	2	55	10	0	27
27	C	122	49	15	2	49	49	4	3
28	C	122	51	40	4	3	51	10	14
29	E	122	86	15	2	6	8	5	86
30	C	122	49	44	14	13	49	0	2
31	C	122	42	22	17	14	42	10	17
32	A	122	40	50	40	4	9	13	6
33	D	122	52	25	4	6	6	52	29
34	C	122	42	32	5	24	42	13	6
35	C	122	14	7	7	87	14	4	3
36	B	122	11	34	1	11	56	10	10
37	D	122	46	6	2	17	2	46	49
38	C	122	19	40	29	6	19	9	19
39	D	122	38	17	21	23	18	38	5
40	D	122	48	13	26	12	8	48	15
