feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19fa91892	1	1	30	4	1	16	>=14	20	4	1	15	>=14	10	0	0	10	>=9	13	1	1	13	>=12	7	3	0	6	5-7
19fa42193	1	1	19	4	12	10	10-13	12	3	10	9	<10	7	1	2	7	7-8	8	2	5	7	<8	4	1	5	4	<5
19fa66708	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19fa71056	1	0	19	8	8	9	<10	10	7	8	6	<10	9	1	0	9	>=9	6	4	5	5	<8	4	3	3	3	<5
19fa45806	1	1	26	8	1	13	10-13	17	7	1	12	10-13	9	1	0	9	>=9	9	5	1	7	<8	8	2	0	7	>=7
19fa81900	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19fa17169	1	1	35	0	0	20	>=14	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12	10	0	0	10	>=7
19fa51261	1	0	19	15	1	8	<10	12	13	0	6	<10	7	2	1	6	<7	9	6	0	7	<8	3	7	0	1	<5
19fa21297	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19fa69267	1	0	20	15	0	9	<10	12	13	0	6	<10	8	2	0	7	7-8	8	7	0	6	<8	4	6	0	2	<5
19fa13004	1	1	26	7	2	14	>=14	16	7	2	11	10-13	10	0	0	10	>=9	11	2	2	10	8-11	5	5	0	3	<5
19fa79953	1	0	0	0	35	0	<10	0	0	25	0	<10	0	0	10	0	<7	0	0	15	0	<8	0	0	10	0	<5
19fa57652	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	14	1	0	14	>=12	8	2	0	7	>=7
19fa87214	1	1	24	2	9	13	10-13	15	2	8	11	10-13	9	0	1	9	>=9	7	2	6	6	<8	8	0	2	8	>=7
19fa32151	1	1	25	10	0	12	10-13	16	9	0	10	10-13	9	1	0	9	>=9	8	7	0	6	<8	8	2	0	7	>=7
19fa34032	1	1	28	7	0	15	>=14	19	6	0	14	>=14	9	1	0	9	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19fa49384	1	0	20	15	0	9	<10	13	12	0	7	<10	7	3	0	6	<7	7	8	0	4	<8	6	4	0	5	5-7
19fa48495	1	1	24	6	5	13	10-13	15	5	5	11	10-13	9	1	0	9	>=9	8	2	5	7	<8	7	3	0	6	5-7
19fa52569	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19fa98161	1	0	16	19	0	6	<10	8	17	0	2	<10	8	2	0	7	7-8	4	11	0	0	<8	4	6	0	2	<5
19fa80037	1	1	27	6	2	14	>=14	18	5	2	13	10-13	9	1	0	9	>=9	12	2	1	11	8-11	6	3	1	5	5-7
19fa17830	1	1	23	7	5	12	10-13	14	6	5	10	10-13	9	1	0	9	>=9	8	3	4	7	<8	6	3	1	5	5-7
19fa12964	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	14	1	0	14	>=12	9	1	0	9	>=7
19fa93921	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12	10	0	0	10	>=7
19fa11634	1	1	23	1	11	13	10-13	14	1	10	11	10-13	9	0	1	9	>=9	9	1	5	9	8-11	5	0	5	5	5-7
19fa38854	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	15	0	0	15	>=12	8	2	0	7	>=7
19fa35690	1	1	25	7	3	13	10-13	15	7	3	10	10-13	10	0	0	10	>=9	7	5	3	5	<8	8	2	0	7	>=7
19fa23752	1	1	26	9	0	13	10-13	16	9	0	10	10-13	10	0	0	10	>=9	7	8	0	4	<8	9	1	0	9	>=7
19fa69008	1	1	31	4	0	17	>=14	21	4	0	16	>=14	10	0	0	10	>=9	12	3	0	11	8-11	9	1	0	9	>=7
19fa55886	1	1	30	3	2	17	>=14	20	3	2	15	>=14	10	0	0	10	>=9	10	3	2	9	8-11	10	0	0	10	>=7
19fa84926	1	1	25	10	0	12	10-13	16	9	0	10	10-13	9	1	0	9	>=9	10	5	0	8	8-11	6	4	0	5	5-7
19fa42828	1	1	22	10	3	11	10-13	13	10	2	8	<10	9	0	1	9	>=9	7	6	2	5	<8	6	4	0	5	5-7
19fa60153	1	1	23	9	3	11	10-13	14	8	3	9	<10	9	1	0	9	>=9	6	6	3	4	<8	8	2	0	7	>=7
19fa90210	1	1	29	5	1	16	>=14	19	5	1	14	>=14	10	0	0	10	>=9	12	2	1	11	8-11	7	3	0	6	5-7
19fa66848	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	12	3	0	11	8-11	7	3	0	6	5-7
19fa61374	1	0	18	17	0	7	<10	11	14	0	5	<10	7	3	0	6	<7	8	7	0	6	<8	3	7	0	1	<5
19fa10122	1	1	26	4	5	14	>=14	16	4	5	12	10-13	10	0	0	10	>=9	10	2	3	9	8-11	6	2	2	5	5-7
19fa48863	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	14	1	0	14	>=12	6	4	0	5	5-7
19fa33661	1	1	25	3	7	14	>=14	16	3	6	12	10-13	9	0	1	9	>=9	8	1	6	8	8-11	8	2	0	7	>=7
19fa23956	1	1	28	3	4	15	>=14	19	2	4	15	>=14	9	1	0	9	>=9	10	1	4	10	8-11	9	1	0	9	>=7
19fa75688	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	15	0	0	15	>=12	9	1	0	9	>=7
19fa81516	1	1	30	4	1	16	>=14	20	4	1	15	>=14	10	0	0	10	>=9	10	4	1	9	8-11	10	0	0	10	>=7
19fa16051	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	13	2	0	12	>=12	9	1	0	9	>=7
19fa79232	1	1	31	1	3	18	>=14	21	1	3	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12	9	0	1	9	>=7
19fa54761	1	1	24	11	0	12	10-13	16	9	0	10	10-13	8	2	0	7	7-8	9	6	0	7	<8	7	3	0	6	5-7
19fa67070	1	1	30	3	2	17	>=14	20	3	2	15	>=14	10	0	0	10	>=9	12	1	2	12	>=12	8	2	0	7	>=7
19fa32966	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	12	3	0	11	8-11	7	3	0	6	5-7
19fa53560	1	1	23	6	6	12	10-13	15	4	6	11	10-13	8	2	0	7	7-8	8	1	6	8	8-11	7	3	0	6	5-7
19fa99851	1	1	29	3	3	16	>=14	19	3	3	14	>=14	10	0	0	10	>=9	11	2	2	10	8-11	8	1	1	8	>=7
19fa28418	1	1	25	10	0	12	10-13	15	10	0	9	<10	10	0	0	10	>=9	9	6	0	7	<8	6	4	0	5	5-7
19fa83173	1	1	30	5	0	16	>=14	21	4	0	16	>=14	9	1	0	9	>=9	13	2	0	12	>=12	8	2	0	7	>=7
19fa26021	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19fa80882	1	1	26	4	5	14	>=14	16	4	5	12	10-13	10	0	0	10	>=9	6	4	5	5	<8	10	0	0	10	>=7
19fa37431	1	1	35	0	0	20	>=14	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12	10	0	0	10	>=7
19fa97598	1	0	17	18	0	6	<10	10	15	0	4	<10	7	3	0	6	<7	4	11	0	0	<8	6	4	0	5	5-7
19fa71966	1	1	25	8	2	13	10-13	15	8	2	10	10-13	10	0	0	10	>=9	10	3	2	9	8-11	5	5	0	3	<5
19fa54557	1	0	18	7	10	9	<10	9	7	9	5	<10	9	0	1	9	>=9	4	4	7	3	<8	5	3	2	4	<5
19fa93111	1	1	28	2	5	16	>=14	18	2	5	14	>=14	10	0	0	10	>=9	10	1	4	10	8-11	8	1	1	8	>=7
19fa83007	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19fa27104	1	1	27	8	0	14	>=14	17	8	0	11	10-13	10	0	0	10	>=9	11	4	0	10	8-11	6	4	0	5	5-7
19fa70262	1	1	25	10	0	12	10-13	18	7	0	13	10-13	7	3	0	6	<7	9	6	0	7	<8	9	1	0	9	>=7
19fa68716	1	0	15	20	0	5	<10	9	16	0	3	<10	6	4	0	5	<7	5	10	0	2	<8	4	6	0	2	<5
19fa66407	1	1	29	2	4	16	>=14	20	2	3	15	>=14	9	0	1	9	>=9	10	2	3	9	8-11	10	0	0	10	>=7
19fa44887	1	0	18	13	4	8	<10	11	12	2	6	<10	7	1	2	7	7-8	6	7	2	4	<8	5	5	0	3	<5
19fa60008	1	1	20	6	9	10	10-13	11	5	9	7	<10	9	1	0	9	>=9	4	4	7	3	<8	7	1	2	7	>=7
19fa24487	1	0	18	16	1	7	<10	10	14	1	4	<10	8	2	0	7	7-8	7	7	1	5	<8	3	7	0	1	<5
19fa10695	1	1	24	8	3	12	10-13	15	7	3	10	10-13	9	1	0	9	>=9	7	5	3	5	<8	8	2	0	7	>=7
19fa97524	1	0	6	18	11	0	<10	3	14	8	0	<10	3	4	3	2	<7	2	5	8	0	<8	1	9	0	0	<5
19fa75955	1	1	29	2	4	16	>=14	19	2	4	15	>=14	10	0	0	10	>=9	11	0	4	11	8-11	8	2	0	7	>=7
19fa17413	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19fa73213	1	1	20	9	6	10	10-13	12	7	6	8	<10	8	2	0	7	7-8	5	4	6	4	<8	7	3	0	6	5-7
19fa82761	1	1	19	6	10	10	10-13	9	6	10	6	<10	10	0	0	10	>=9	5	3	7	4	<8	4	3	3	3	<5
19fa95212	1	0	12	23	0	2	<10	6	19	0	0	<10	6	4	0	5	<7	4	11	0	0	<8	2	8	0	0	<5
19fa79547	1	1	34	0	1	19	>=14	24	0	1	19	>=14	10	0	0	10	>=9	14	0	1	14	>=12	10	0	0	10	>=7
19fa99634	1	1	28	5	2	15	>=14	18	5	2	13	10-13	10	0	0	10	>=9	11	2	2	10	8-11	7	3	0	6	5-7
19fa43182	1	0	11	20	4	2	<10	6	16	3	1	<10	5	4	1	4	<7	3	9	3	0	<8	3	7	0	1	<5
19fa86838	1	0	2	3	30	1	<10	0	0	25	0	<10	2	3	5	1	<7	0	0	15	0	<8	0	0	10	0	<5
19fa40449	1	1	24	11	0	12	10-13	17	8	0	11	10-13	7	3	0	6	<7	11	4	0	10	8-11	6	4	0	5	5-7
19fa73982	1	1	20	8	7	10	10-13	11	7	7	7	<10	9	1	0	9	>=9	5	4	6	4	<8	6	3	1	5	5-7
19fa91575	1	1	24	9	2	12	10-13	15	8	2	10	10-13	9	1	0	9	>=9	8	5	2	6	<8	7	3	0	6	5-7
19fa10589	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	11	4	0	10	8-11	9	1	0	9	>=7
19fa69488	1	1	27	1	7	15	>=14	18	1	6	14	>=14	9	0	1	9	>=9	9	1	5	9	8-11	9	0	1	9	>=7
19fa39325	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	14	1	0	14	>=12	8	2	0	7	>=7
19fa88745	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12	10	0	0	10	>=7
