vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	150	129	8	4	4	129	5
2	B	150	145	2	0	145	2	1
3	A	150	140	3	140	0	5	2
4	B	150	122	3	6	122	10	9
5	D	150	130	9	3	7	1	130
6	B	150	103	16	12	103	14	5
7	D	150	96	20	14	8	12	96
8	B	150	117	21	5	117	4	3
9	D	150	134	3	1	7	5	134
10	C	150	134	7	3	2	134	4
11	A	150	103	17	103	8	10	12
12	B	150	72	54	11	72	6	7
13	A	150	48	74	48	9	15	4
14	B	150	90	27	16	90	5	12
15	A	150	91	43	91	6	4	6
16	C	150	115	15	3	5	115	12
17	D	150	86	32	9	8	15	86
18	C	150	108	9	6	18	108	9
19	A	150	130	14	130	4	0	2
20	D	150	59	60	13	5	13	59
21	D	150	48	20	12	57	13	48
22	C	150	49	50	4	6	49	41
23	C	150	56	78	5	8	56	3
24	B	150	86	38	4	86	15	7
25	B	150	68	52	21	68	1	8
26	C	150	128	6	3	9	128	4
27	B	150	93	7	32	93	5	13
28	C	150	79	12	22	32	79	5
29	A	150	118	1	118	4	3	24
30	D	150	83	30	15	4	18	83
31	A	150	113	2	113	23	10	2
32	C	150	92	21	15	15	92	7
33	B	150	79	33	15	79	22	1
34	B	150	108	3	6	108	26	7
35	B	150	98	11	4	98	18	19
