vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	45	39	3	2	1	39	0
2	B	45	41	2	1	41	0	1
3	A	45	41	1	41	1	2	0
4	B	45	36	5	1	36	1	2
5	D	45	36	5	0	1	3	36
6	B	45	30	6	4	30	3	2
7	D	45	31	8	1	3	2	31
8	B	45	28	9	4	28	4	0
9	D	45	38	3	0	4	0	38
10	C	45	38	4	0	1	38	2
11	A	45	28	7	28	2	4	4
12	B	45	23	15	2	23	2	3
13	A	45	15	21	15	4	2	3
14	B	45	34	5	2	34	1	3
15	A	45	24	11	24	6	3	1
16	C	45	26	8	0	7	26	4
17	D	45	24	8	0	6	7	24
18	C	45	27	6	2	5	27	5
19	A	45	36	6	36	0	2	1
20	D	45	12	21	8	1	3	12
21	D	45	18	4	3	17	3	18
22	C	45	14	17	2	0	14	12
23	C	45	21	20	0	0	21	4
24	B	45	25	11	1	25	6	2
25	B	45	19	11	7	19	1	7
26	B	45	16	6	4	16	7	12
27	D	45	20	6	8	4	7	20
28	C	45	26	5	4	8	26	2
29	A	45	27	3	27	8	0	7
30	C	45	25	3	3	11	25	3
31	D	45	20	10	1	1	13	20
32	A	45	27	8	27	0	2	8
33	C	45	30	5	6	2	30	2
34	A	45	16	7	16	9	9	4
35	C	45	22	9	0	4	22	10
