feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19in31879	1	1	17	8	0	11	10-13	9	1	0	9	>=9	8	7	0	6	<8
19in64854	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in70741	1	1	24	1	0	19	>=14	9	1	0	9	>=9	15	0	0	15	>=12
19in96985	1	1	19	6	0	14	>=14	8	2	0	7	7-8	11	4	0	10	8-11
19in84472	1	1	16	2	7	12	10-13	9	1	0	9	>=9	7	1	7	7	<8
19in78261	1	1	22	2	1	17	>=14	10	0	0	10	>=9	12	2	1	11	8-11
19in73707	1	1	19	6	0	14	>=14	10	0	0	10	>=9	9	6	0	7	<8
19in88640	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in89681	1	1	22	1	2	17	>=14	10	0	0	10	>=9	12	1	2	12	>=12
19in34230	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19in49644	1	1	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11
19in78024	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19in40477	1	1	18	7	0	13	10-13	8	2	0	7	7-8	10	5	0	8	8-11
19in60086	1	1	14	5	6	10	10-13	8	0	2	8	7-8	6	5	4	4	<8
19in45385	1	1	21	3	1	16	>=14	10	0	0	10	>=9	11	3	1	10	8-11
19in61014	1	1	21	3	1	16	>=14	9	1	0	9	>=9	12	2	1	11	8-11
19in81205	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in24799	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in56359	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19in14643	1	1	16	7	2	11	10-13	9	1	0	9	>=9	7	6	2	5	<8
19in39655	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in98296	1	1	15	5	5	11	10-13	9	0	1	9	>=9	6	5	4	4	<8
19in65742	1	1	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12
19in23800	1	1	22	2	1	17	>=14	9	1	0	9	>=9	13	1	1	13	>=12
19in46729	1	1	21	3	1	16	>=14	9	1	0	9	>=9	12	2	1	11	8-11
