vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	B	129	104	1	12	104	12	0
2	A	129	105	1	105	21	2	0
3	D	129	106	1	2	3	17	106
4	D	129	109	2	3	10	5	109
5	B	129	94	3	16	94	12	4
6	D	129	83	4	5	15	22	83
7	D	129	91	14	3	15	6	91
8	C	129	89	14	2	2	89	22
9	D	129	74	11	3	23	18	74
10	D	129	66	7	20	27	9	66
11	A	129	81	14	81	13	17	4
12	C	129	102	2	20	0	102	5
13	D	129	55	23	9	11	31	55
14	C	129	114	1	8	4	114	2
15	B	129	46	11	56	46	12	4
16	B	129	49	35	8	49	19	18
17	A	129	46	20	46	16	34	13
18	A	129	85	4	85	13	15	12
19	B	129	54	11	22	54	17	25
20	C	129	58	18	2	47	58	4
21	D	129	119	2	0	2	6	119
22	B	129	62	4	44	62	13	6
23	A	129	61	13	61	36	13	6
24	B	129	65	4	51	65	5	4
25	A	129	105	4	105	4	0	16
26	C	129	77	16	23	7	77	6
27	A	129	49	44	49	10	20	6
28	B	129	77	4	19	77	22	7
29	D	129	59	33	9	17	11	59
30	C	129	84	13	14	4	84	14
