vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	142	133	3	2	1	3	133
2	B	142	65	48	17	65	9	3
3	C	142	118	0	5	13	118	6
4	D	142	118	4	3	10	7	118
5	C	142	26	22	14	67	26	13
6	B	142	56	42	17	56	6	21
7	A	142	75	38	75	16	9	4
8	C	142	88	27	3	11	88	13
9	A	142	95	23	95	9	1	14
10	D	142	112	9	3	5	13	112
11	B	142	105	20	1	105	10	6
12	B	142	118	1	5	118	13	5
13	C	142	89	3	3	3	89	44
14	A	142	47	36	47	24	30	5
15	D	142	49	50	11	10	22	49
16	C	142	38	33	2	66	38	3
17	D	142	20	33	32	47	10	20
18	B	142	48	47	11	48	15	21
19	A	142	40	9	40	8	52	33
20	A	142	57	26	57	4	18	37
21	A	142	107	2	107	5	6	22
22	D	142	26	60	4	23	29	26
23	C	142	71	30	12	21	71	8
24	D	142	83	14	11	18	16	83
25	B	142	84	5	8	84	44	1
26	C	142	80	6	19	4	80	33
27	B	142	75	33	19	75	12	3
28	C	142	61	34	33	7	61	7
29	C	142	43	41	5	6	43	47
30	D	142	66	36	20	5	15	66
31	A	142	125	4	125	7	2	4
32	A	142	37	8	37	60	9	28
33	D	142	59	16	37	17	13	59
34	C	142	70	12	30	17	70	13
35	B	142	121	1	15	121	4	1
36	A	142	104	7	104	4	5	22
37	C	142	51	7	1	21	51	62
38	C	142	120	5	4	0	120	13
39	B	142	74	37	17	74	4	10
40	B	142	61	8	7	61	61	5
